"Permanent & long-term migration by EVERY country of residence and citizenship (Monthly)","","","",""
"","","","Arrivals","Departures"
" "," ","1995M07",0,0
" "," ","1995M08",0,0
" "," ","1995M09",0,0
" "," ","1995M10",0,0
" "," ","1995M11",0,0
" "," ","1995M12",0,0
" "," ","1996M01",0,0
" "," ","1996M02",0,0
" "," ","1996M03",0,0
" "," ","1996M04",0,0
" "," ","1996M05",0,0
" "," ","1996M06",0,0
" "," ","1996M07",0,0
" "," ","1996M08",0,0
" "," ","1996M09",0,0
" "," ","1996M10",0,0
" "," ","1996M11",0,0
" "," ","1996M12",0,0
" "," ","1997M01",0,0
" "," ","1997M02",0,0
" "," ","1997M03",0,0
" "," ","1997M04",0,0
" "," ","1997M05",0,0
" "," ","1997M06",0,0
" "," ","1997M07",0,0
" "," ","1997M08",0,0
" "," ","1997M09",0,0
" "," ","1997M10",0,0
" "," ","1997M11",0,0
" "," ","1997M12",0,0
" "," ","1998M01",0,0
" "," ","1998M02",0,0
" "," ","1998M03",0,0
" "," ","1998M04",0,0
" "," ","1998M05",0,0
" "," ","1998M06",0,0
" "," ","1998M07",0,0
" "," ","1998M08",0,0
" "," ","1998M09",0,0
" "," ","1998M10",0,0
" "," ","1998M11",0,0
" "," ","1998M12",0,0
" "," ","1999M01",0,0
" "," ","1999M02",0,0
" "," ","1999M03",0,0
" "," ","1999M04",0,0
" "," ","1999M05",0,0
" "," ","1999M06",0,0
" "," ","1999M07",0,0
" "," ","1999M08",0,0
" "," ","1999M09",0,0
" "," ","1999M10",0,0
" "," ","1999M11",0,0
" "," ","1999M12",0,0
" "," ","2000M01",0,0
" "," ","2000M02",0,0
" "," ","2000M03",0,0
" ","Cook Islands","1994M11",13,44
" "," ","1994M12",39,44
" "," ","1995M01",43,43
" "," ","1995M02",38,20
" "," ","1995M03",31,15
" "," ","1995M04",24,22
" "," ","1995M05",20,25
" "," ","1995M06",18,15
" "," ","1995M07",25,18
" "," ","1995M08",27,8
" "," ","1995M09",13,15
" "," ","1995M10",22,18
" "," ","1995M11",23,39
" "," ","1995M12",94,26
" "," ","1996M01",66,45
" "," ","1996M02",35,13
" "," ","1996M03",34,10
" "," ","1996M04",33,32
" "," ","1996M05",31,17
" "," ","1996M06",32,7
" "," ","1996M07",39,16
" "," ","1996M08",36,5
" "," ","1996M09",41,4
" "," ","1996M10",38,6
" "," ","1996M11",44,11
" "," ","1996M12",102,27
" "," ","1997M01",51,24
" "," ","1997M02",35,17
" "," ","1997M03",37,5
" "," ","1997M04",37,9
" "," ","1997M05",35,9
" "," ","1997M06",23,8
" "," ","1997M07",22,9
" "," ","1997M08",29,9
" "," ","1997M09",19,18
" "," ","1997M10",37,12
" "," ","1997M11",71,22
" "," ","1997M12",116,18
" "," ","1998M01",48,43
" "," ","1998M02",70,15
" "," ","1998M03",28,32
" "," ","1998M04",33,15
" "," ","1998M05",66,12
" "," ","1998M06",46,15
" "," ","1998M07",29,25
" "," ","1998M08",36,13
" "," ","1998M09",28,10
" "," ","1998M10",42,8
" "," ","1998M11",22,49
" "," ","1998M12",88,39
" "," ","1999M01",43,17
" "," ","1999M02",44,29
" "," ","1999M03",24,23
" "," ","1999M04",19,12
" "," ","1999M05",17,22
" "," ","1999M06",23,17
" "," ","1999M07",13,23
" "," ","1999M08",43,16
" "," ","1999M09",22,4
" "," ","1999M10",16,17
" "," ","1999M11",24,40
" "," ","1999M12",77,44
" "," ","2000M01",47,28
" "," ","2000M02",46,15
" "," ","2000M03",29,20
" ","Christmas Island","1994M11",0,1
" "," ","1994M12",0,1
" "," ","1995M01",0,0
" "," ","1995M02",0,0
" "," ","1995M03",0,1
" "," ","1995M04",0,0
" "," ","1995M05",0,1
" "," ","1995M06",0,0
" "," ","1995M07",0,0
" "," ","1995M08",0,0
" "," ","1995M09",0,0
" "," ","1995M10",0,1
" "," ","1995M11",0,0
" "," ","1995M12",0,0
" "," ","1996M01",0,0
" "," ","1996M02",0,0
" "," ","1996M03",0,0
" "," ","1996M04",0,0
" "," ","1996M05",0,0
" "," ","1996M06",0,0
" "," ","1996M07",0,0
" "," ","1996M08",1,0
" "," ","1996M09",0,1
" "," ","1996M10",0,0
" "," ","1996M11",0,0
" "," ","1996M12",0,0
" "," ","1997M01",0,0
" "," ","1997M02",0,0
" "," ","1997M03",0,0
